job_name,address,job_link,salary,job_details
NHÂN VIÊN DỊCH VỤ KHÁCH HÀNG (TẠI NHA TRANG KHÁNH HÒA),"Tầng 1,2 Tòa Nhà 42 Lê Thành Phương, Phương Sài,  Nha Trang, Khánh Hòa",https://fptjobs.com/nhan-vien-dich-vu-khach-hang-tai-nha-trang-khanh-hoa-18324,8000000 - 15000000 VND,"Quản lý hợp đồng dịch vụ khách hàng: Kiểm tra hợp đồng, giấy tờ và cập nhật đầy đủ, chính xác thông tin của khách hàng trên hệ thống.
Thực hiện các thủ tục chuyển đổi, đổi chủ, thanh lý hợp đồng theo yêu cầu của khách hàng.
Thu phí của khách hàng đến thanh toán tại quầy giao dịch và từ các nhân viên thu cước làm việc tại chi nhánh.
Quản lý và hỗ trợ đội ngũ nhân viên thu cước đảm bảo hoàn thành chỉ tiêu thanh toán theo yêu cầu của bộ phận.
Cập nhật trên hệ thống quản lý các khoản thu trong ngày và nộp tiền bảo đảm đầy đủ, chính xác.
Chăm sóc khách hàng sử dụng dịch vụ của Công ty.
Khu vực làm việc: TP. Nha Trang."
"NHÂN VIÊN KỸ THUẬT TRIỂN KHAI VÀ BẢO TRÌ MẠNG VIỄN THÔNG  (TẠI ĐÔNG ANH, MÊ LINH, SÓC SƠN)","220 Cao Lỗ, Xã Uy Nỗ, Huyện Đông Anh, TP Hà Nội",https://fptjobs.com/nhan-vien-ky-thuat-trien-khai-va-bao-tri-mang-vien-thong-tai-dong-anh-me-linh-soc-son-18321,7000000 - 20000000 VND,"Triển khai lắp đặt thuê bao Pay TV, FTTH cho khách hàng của công ty.
Tiến hành kiểm tra, sửa chữa tín hiệu đường dây FTTH cho khách hàng.
Cài đặt các dịch vụ khác ( One TV, truyền hình cáp,...) do FPT cung cấp cho khánh hàng.
Hỗ trợ kĩ thuật trực tiếp cho khách hàng.
Địa điểm làm việc : Đông Anh, Mê Linh, Sóc Sơn, Hà Nội.
Tạo ra những tương tác, trải nghiệm cá nhân hóa tới người dùng/khách hàng trên các điểm tiếp xúc, các kênh tiếp xúc online/offline."
"NHÂN VIÊN KINH DOANH DỊCH VỤ VIỄN THÔNG (ĐÔNG ANH, MÊ LINH, SÓC SƠN)","220 Cao Lỗ, Xã Uy Nỗ, Huyện Đông Anh, TP Hà Nội",https://fptjobs.com/nhan-vien-kinh-doanh-dich-vu-vien-thong-dong-anh-me-linh-soc-son-18320,8000000 - 30000000 VND,"Tìm kiếm thông tin, tiếp cận các khách hàng tiềm năng.
Tư vấn, giải thích cho khách hàng về dịch vụ Internet và các dịch vụ giá trị gia tăng trên đường truyền internet do FPT Telecom đang cung cấp.
Đàm phán thương lượng, thực hiện các thủ tục ký kết hợp đồng với khách hàng.
Thực hiện công tác chăm sóc khách hàng trước và sau khi bán.
Địa điểm làm việc:
	
220 Cao Lỗ, Xã Uy Nỗ, Huyện Đông Anh, TP Hà Nội;
Khu đô thị Phương Huy, Phố Yên, Mê Linh, Hà Nội;
18 Miếu Thờ, Tiên Dược, Sóc Sơn, Hà Nội.
Tạo ra những tương tác, trải nghiệm cá nhân hóa tới người dùng/khách hàng trên các điểm tiếp xúc, các kênh tiếp xúc online/offline.


Tạo ra những tương tác, trải nghiệm cá nhân hóa tới người dùng/khách hàng trên các điểm tiếp xúc, các kênh tiếp xúc online/offline."
NHÂN VIÊN KỸ THUẬT TRIỂN KHAI VÀ BẢO TRÌ MẠNG VIỄN THÔNG  (ĐÀ NẴNG),"909 Ngô Quyền, P, An Hải Đông, Quận Sơn Trà, TP. Đà Nẵng",https://fptjobs.com/nhan-vien-ky-thuat-trien-khai-va-bao-tri-mang-vien-thong-da-nang-18319,8000000 - 15000000 VND,"Triển khai và bảo trì đường truyền Internet cho khách hàng.                 
 Kiểm tra, sửa chữa tín hiệu đường dây (Bao gồm các sự cố liên quan đến tuyến cáp thuê bao và thiết bị sử dụng internet trong nhà khách hàng).             
Lắp đặt các dịch vụ khác (Truyền hình FPT, thiết bị wifi, camera ...) do FPT Telecom cung cấp.                 
Hỗ trợ kỹ thuật trực tiếp cho khách hàng.
Kết hợp tư vấn, bán các sản phẩm dịch vụ công ty cung cấp. Thấu cảm, tạo ra những tương tác, trải nghiệm cá nhân hóa tới người dùng/khách hàng trên các kênh (online/offline) ở mọi điểm chạm.
Thực hiện các công việc khác theo yêu cầu của trưởng bộ phận."
KỸ THUẬT VIÊN (HỒ CHÍ MINH),Làm các quận thuộc khu vực HCM (hỗ trợ làm gần nơi sinh sống),https://fptjobs.com/ky-thuat-vien-ho-chi-minh-18318,8000000 - 15000000 VND,"Triển khai và bảo trì đường truyền Internet, Camera đến nhà khách hàng.                   
Hỗ trợ kỹ thuật tại nhà khách hàng khi có sự cố về Internet, Truyền hình FPT Play hoặc bảo trì dịch vụ theo yêu cầu của khách hàng về các sự cố khác.
Kiểm tra, sửa chữa hệ thống viễn thông và thu hồi các thiết bị khi khách hàng không còn nhu cầu sử dụng dịch vụ.                               
Thu cước và tư vấn đóng cước dịch vụ Internet, truyền hình FPT Play trên địa bàn được phân công.
Thấu cảm, tạo ra những tương tác, trải nghiệm cá nhân hóa tới khách hàng trên các kênh ở mọi điểm chạm.
Thực hiện các công việc khác theo sự phân công của trưởng bộ phận."
THỰC TẬP SINH NHÂN SỰ,"68/11A Phạm Thái Bường, Phường 4, Tp. Vĩnh Long, Vĩnh Long",https://fptjobs.com/thuc-tap-sinh-nhan-su-18315,lương thỏa thuận,"Đăng tin tuyển dụng khi có yêu cầu từ phòng ban
Quản lý tin tuyển dụng và hồ sơ ứng tuyển
Hỗ trợ công tác hành chính
Thực hiện các công việc khác theo yêu cầu của phòng"
THỰC TẬP SINH TUYỂN DỤNG (KHỐI TECH & BO_QUẬN 7_KHÔNG LƯƠNG),"Lô L29B-31B-33B, Đường Tân Thuận, KCX Tân Thuận, Quận 7, Tp.HCM",https://fptjobs.com/thuc-tap-sinh-tuyen-dung-khoi-tech--boquan-7khong-luong-18314,lương thỏa thuận,"Tìm kiếm, sàng lọc hồ sơ ứng viên (chủ yếu tuyển dụng các vị trí khối Tech & BO).
Đăng tuyển dụng & Research hồ sơ trên các kênh phù hợp.
Sàn lọc Hồ sơ ứng tuyển phù hợp.
Sắp xếp lịch phỏng vấn với ứng viên và bộ phận.
Hỗ trợ công tác phỏng vấn với đơn vị.
Quản lý hồ sơ ứng viên ứng tuyển, nhận việc ứng viên.
Tham gia tổ chức các chương trình, sự kiện tuyển dụng.
Tham gia các dự án Nhân sự cùng bộ phận.
Thực hiện các công việc khác theo yêu cầu của CBQL."
CHUYÊN VIÊN KINH DOANH,"Tầng 5, tòa Detech Tower 2, số 107 Nguyễn Phong Sắc, Hà Nội",https://fptjobs.com/chuyen-vien-kinh-doanh-18313,lương thỏa thuận,"Quản lý, phát triển kinh doanh FPT Smart Home, phụ trách bán hàng & tư vấn các sản phẩm Smart Home.
Phối hợp cùng các đơn vị phát triển dự án để cùng vào dự án Smart Home.
Quản lý mối quan hệ giữa các đối tác và tất cả các bên liên quan.
Là người liên hệ chính với tất cả thông tin vào và ra trong quá trình tiến triển dự án.
Tạo ra những tương tác, trải nghiệm cá nhân hóa tới người dùng/khách hàng trên các điểm tiếp xúc, các kênh tiếp xúc online/offline.
Xây dựng kênh bán affiliate, Sàn BĐS, Chủ thầu Xây dựng và dự án."
KỸ THUẬT VIÊN BẢO TRÌ HẠ TẦNG VIỄN THÔNG,"285K, Khu Phố 3, Phường Phú Tân, Thành phố Bến Tre, Bến Tre",https://fptjobs.com/ky-thuat-vien-bao-tri-ha-tang-vien-thong-18312,8000000 - 15000000 VND,"Xử lý các sự cố ngoại vi cáp đồng, cáp quang.


Xử lý di dời cáp do điện lực nhổ trụ, thu hồi trụ, thay trụ mới.


Phối hợp giám sát công tác chỉnh trang.


Thấu cảm, tạo ra những tương tác, trải nghiệm cá nhân hóa tới người dùng/khách hàng trên các kênh (online/offline) ở mọi điểm chạm.


Làm việc tại một trong các chi nhánh FPT Telecom (ưu tiên khu vực gần nơi ở)."
"NHÂN VIÊN KINH DOANH (QUẬN 5,6,10)","227 Hậu Giang, Phường 5, Quận 6, TP.HCM",https://fptjobs.com/nhan-vien-kinh-doanh-quan-5610-18311,10000000 - 20000000 VND,"Tư vấn, giải thích cho khách hàng về dịch vụ do FPT Telecom đang cung cấp.
Sản phẩm: Internet, Truyền hình và Camera FPT
Kênh bán hàng: phát triển thị trường, online, đối tác, B2C, B2B... (sẽ được Trưởng phòng kinh doanh đào tạo bài bản)
Đàm phán, thương lượng, xúc tiến ký kết hợp đồng với khách hàng.
Làm việc tại văn phòng hoặc theo yêu cầu, hướng dẫn của quản lý trực tiếp."
